standard,version,domain,variable,core,ordinal,label,role,type
adam,adam-adae-1-0,Identifier Variables,STUDYID,Req,1,Study Identifier,,Char
adam,adam-adae-1-0,Identifier Variables,USUBJID,Req,2,Unique Subject Identifier,,Char
adam,adam-adae-1-0,Identifier Variables,SUBJID,Perm,3,Subject Identifier for the Study,,Char
adam,adam-adae-1-0,Identifier Variables,SITEID,Perm,4,Study Site Identifier,,Char
adam,adam-adae-1-0,Identifier Variables,AESEQ,Req,5,Sequence Number,,Num
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AETERM,Req,6,Reported Term for the Adverse Event,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEDECOD,Req,7,Dictionary-Derived Term,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEBODSYS,Req,8,Body System or Organ Class,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEBDSYCD,Perm,9,Body System or Organ Class Code,,Num
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AELLT,Cond,10,Lowest Level Term,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AELLTCD,Perm,11,Lowest Level Term Code,,Num
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEPTCD,Perm,12,Preferred Term Code,,Num
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEHLT,Cond,13,High Level Term,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEHLTCD,Perm,14,High Level Term Code,,Num
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEHLGT,Cond,15,High Level Group Term,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AEHLTGCD,Perm,16,High Level Group Term Code,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AESOC,Cond,17,Primary System Organ Class,,Char
adam,adam-adae-1-0,Dictionary Coding Variables for MedDRA,AESOCCD,Perm,18,Primary System Organ Class Code,,Num
adam,adam-adae-1-0,Timing Variables,AESTDTC,Perm,19,Start Date/Time of Adverse Event,,Char
adam,adam-adae-1-0,Timing Variables,ASTDT,Cond,20,Analysis Start Date,,Num
adam,adam-adae-1-0,Timing Variables,ASTDTM,Cond,21,Analysis Start Date/Time,,Num
adam,adam-adae-1-0,Timing Variables,ASTDTF,Cond,22,Analysis Start Date Imputation Flag,,Char
adam,adam-adae-1-0,Timing Variables,ASTTMF,Cond,23,Analysis Start Time Imputation Flag,,Char
adam,adam-adae-1-0,Timing Variables,AEENDTC,Perm,24,End Date/Time of Adverse Event,,Char
adam,adam-adae-1-0,Timing Variables,AENDT,Cond,25,Analysis End Date,,Num
adam,adam-adae-1-0,Timing Variables,AENDTM,Cond,26,Analysis End Date/Time,,Num
adam,adam-adae-1-0,Timing Variables,AENDTF,Cond,27,Analysis End Date Imputation Flag,,Char
adam,adam-adae-1-0,Timing Variables,AENTMF,Cond,28,Analysis End Time Imputation Flag,,Char
adam,adam-adae-1-0,Timing Variables,ASTDY,Cond,29,Analysis Start Relative Day,,Num
adam,adam-adae-1-0,Timing Variables,AESTDY,Perm,30,Study Day of Start of Adverse Event,,Num
adam,adam-adae-1-0,Timing Variables,AENDY,Perm,31,Analysis End Relative Day,,Num
adam,adam-adae-1-0,Timing Variables,AEENDY,Perm,32,Study Day of End of Adverse Event,,Num
adam,adam-adae-1-0,Timing Variables,ADURN,Perm,33,AE Duration (N),,Num
adam,adam-adae-1-0,Timing Variables,ADURU,Cond,34,AE Duration Units,,Char
adam,adam-adae-1-0,Timing Variables,AEDUR,Perm,35,Duration of Adverse Event,,Char
adam,adam-adae-1-0,Timing Variables,APERIOD,Perm,36,Period,,Num
adam,adam-adae-1-0,Timing Variables,APERIODC,Perm,37,Period (C),,Char
adam,adam-adae-1-0,Timing Variables,APHASE,Perm,38,Phase,,Char
adam,adam-adae-1-0,Indicator Variables,TRTEMFL,Cond,39,Treatment Emergent Analysis Flag,,Char
adam,adam-adae-1-0,Indicator Variables,AETRTEM,Perm,40,Treatment Emergent Flag,,Char
adam,adam-adae-1-0,Indicator Variables,ANLzzFL,Cond,41,Analysis Record Flag zz,,Char
adam,adam-adae-1-0,Indicator Variables,PREFL,Cond,42,Pre-treatment Flag,,Char
adam,adam-adae-1-0,Indicator Variables,FUPFL,Cond,43,Follow-up Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCFL,Perm,44,1st Occurrence of Any AE Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCSFL,Perm,45,1st Occurrence of SOC Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCPFL,Perm,46,1st Occurrence of Preferred Term Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCIFL,Perm,47,1st Max Sev./Int. Occurrence Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCSIFL,Perm,48,1st Max Sev./Int. Occur Within SOC Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCPIFL,Perm,49,1st Max Sev./Int. Occur Within PT Flag,,Char
adam,adam-adae-1-0,Occurrence Flag Variables,AOCCzzFL,Perm,50,1st Occurrence of ....,,Char
adam,adam-adae-1-0,Treatment Variables,DOSEAEON,Perm,51,Study Drug Dose at AE Onset,,Num
adam,adam-adae-1-0,Treatment Variables,DOSAEONU,Cond,52,Study Drug Dose at AE Onset Units,,Char
adam,adam-adae-1-0,Treatment Variables,DOSECUM,Perm,53,Cumulative Study Drug Dose,,Num
adam,adam-adae-1-0,Treatment Variables,DOSECUMU,Cond,54,Cumulative Study Drug Dose Units,,Char
adam,adam-adae-1-0,Descriptive Variables,AESER,Req,55,Serious Event,,Char
adam,adam-adae-1-0,Descriptive Variables,AESEV,Perm,56,Severity/Intensity,,Char
adam,adam-adae-1-0,Descriptive Variables,AESEVN,Perm,57,Severity/Intensity (N),,Num
adam,adam-adae-1-0,Descriptive Variables,ASEV,Perm,58,Analysis Severity/Intensity,,Char
adam,adam-adae-1-0,Descriptive Variables,ASEVN,Perm,59,Analysis Severity/Intensity (N),,Num
adam,adam-adae-1-0,Descriptive Variables,SEVGRy,Perm,60,Pooled Severity Group y,,Char
adam,adam-adae-1-0,Descriptive Variables,SEVGRyN,Perm,61,Pooled Severity Group y (N),,Num
adam,adam-adae-1-0,Descriptive Variables,AEREL,Perm,62,Causality,,Char
adam,adam-adae-1-0,Descriptive Variables,AERELN,Perm,63,Causality (N),,Num
adam,adam-adae-1-0,Descriptive Variables,AREL,Perm,64,Analysis Causality,,Char
adam,adam-adae-1-0,Descriptive Variables,ARELN,Perm,65,Analysis Causality (N),,Num
adam,adam-adae-1-0,Descriptive Variables,RELGRy,Perm,66,Pooled Causality Group y,,Char
adam,adam-adae-1-0,Descriptive Variables,RELGRyN,Perm,67,Pooled Causality Group y (N),,Num
adam,adam-adae-1-0,Descriptive Variables,AETOXGR,Perm,68,Standard Toxicity Grade,,Char
adam,adam-adae-1-0,Descriptive Variables,AETOXGRN,Perm,69,Standard Toxicity Grade (N),,Num
adam,adam-adae-1-0,Descriptive Variables,ATOXGR,Perm,70,Analysis Toxicity Grade,,Char
adam,adam-adae-1-0,Descriptive Variables,ATOXGRN,Perm,71,Analysis Toxicity Grade (N),,Num
adam,adam-adae-1-0,Descriptive Variables,TOXGGRy,Perm,72,Pooled Toxicity Grade Group y,,Char
adam,adam-adae-1-0,Descriptive Variables,TOXGGRyN,Perm,73,Pooled Toxicity Grade y (N),,Num
adam,adam-adae-1-0,Descriptive Variables,AEACN,Perm,74,Action Taken with Study Treatment,,Char
adam,adam-adae-1-0,Standardized MedDRA Query Variables,SMQzzNAM,Cond,75,SMQ zz Name,,Char
adam,adam-adae-1-0,Standardized MedDRA Query Variables,SMQzzCD,Perm,76,SMQ zz Code,,Num
adam,adam-adae-1-0,Standardized MedDRA Query Variables,SMQzzSC,Cond,77,SMQ zz Scope,,Char
adam,adam-adae-1-0,Standardized MedDRA Query Variables,SMQzzSCN,Perm,78,SMQ zz Scope (N),,Num
adam,adam-adae-1-0,Standardized MedDRA Query Variables,CQzzNAM,Cond,79,Customized Query zz Name,,Char
