version,domain,variable,core,ordinal
3.1.2,DM,STUDYID,Req,1
3.1.2,DM,DOMAIN,Req,2
3.1.2,DM,USUBJID,Req,3
3.1.2,DM,SUBJID,Req,4
3.1.2,DM,RFSTDTC,Exp,5
3.1.2,DM,RFENDTC,Exp,6
3.1.2,DM,SITEID,Req,7
3.1.2,DM,INVID,Perm,8
3.1.2,DM,INVNAM,Perm,9
3.1.2,DM,BRTHDTC,Perm,10
3.1.2,DM,AGE,Exp,11
3.1.2,DM,AGEU,Exp,12
3.1.2,DM,SEX,Req,13
3.1.2,DM,RACE,Exp,14
3.1.2,DM,ETHNIC,Perm,15
3.1.2,DM,ARMCD,Req,16
3.1.2,DM,ARM,Req,17
3.1.2,DM,COUNTRY,Req,18
3.1.2,DM,DMDTC,Perm,19
3.1.2,DM,DMDY,Perm,20
3.1.2,CO,STUDYID,Req,1
3.1.2,CO,DOMAIN,Req,2
3.1.2,CO,RDOMAIN,Perm,3
3.1.2,CO,USUBJID,Req,4
3.1.2,CO,COSEQ,Req,5
3.1.2,CO,IDVAR,Perm,6
3.1.2,CO,IDVARVAL,Perm,7
3.1.2,CO,COREF,Perm,8
3.1.2,CO,COVAL,Req,9
3.1.2,CO,COEVAL,Perm,10
3.1.2,CO,CODTC,Perm,11
3.1.2,SE,STUDYID,Req,1
3.1.2,SE,DOMAIN,Req,2
3.1.2,SE,USUBJID,Req,3
3.1.2,SE,SESEQ,Req,4
3.1.2,SE,ETCD,Req,5
3.1.2,SE,ELEMENT,Perm,6
3.1.2,SE,SESTDTC,Req,7
3.1.2,SE,SEENDTC,Exp,8
3.1.2,SE,TAETORD,Perm,9
3.1.2,SE,EPOCH,Perm,10
3.1.2,SE,SEUPDES,Perm,11
3.1.2,SV,STUDYID,Req,1
3.1.2,SV,DOMAIN,Req,2
3.1.2,SV,USUBJID,Req,3
3.1.2,SV,VISITNUM,Req,4
3.1.2,SV,VISIT,Perm,5
3.1.2,SV,VISITDY,Perm,6
3.1.2,SV,SVSTDTC,Exp,7
3.1.2,SV,SVENDTC,Exp,8
3.1.2,SV,SVSTDY,Perm,9
3.1.2,SV,SVENDY,Perm,10
3.1.2,SV,SVUPDES,Perm,11
3.1.2,CM,STUDYID,Req,1
3.1.2,CM,DOMAIN,Req,2
3.1.2,CM,USUBJID,Req,3
3.1.2,CM,CMSEQ,Req,4
3.1.2,CM,CMGRPID,Perm,5
3.1.2,CM,CMSPID,Perm,6
3.1.2,CM,CMTRT,Req,7
3.1.2,CM,CMMODIFY,Perm,8
3.1.2,CM,CMDECOD,Perm,9
3.1.2,CM,CMCAT,Perm,10
3.1.2,CM,CMSCAT,Perm,11
3.1.2,CM,CMPRESP,Perm,12
3.1.2,CM,CMOCCUR,Perm,13
3.1.2,CM,CMSTAT,Perm,14
3.1.2,CM,CMREASND,Perm,15
3.1.2,CM,CMINDC,Perm,16
3.1.2,CM,CMCLAS,Perm,17
3.1.2,CM,CMCLASCD,Perm,18
3.1.2,CM,CMDOSE,Perm,19
3.1.2,CM,CMDOSTXT,Perm,20
3.1.2,CM,CMDOSU,Perm,21
3.1.2,CM,CMDOSFRM,Perm,22
3.1.2,CM,CMDOSFRQ,Perm,23
3.1.2,CM,CMDOSTOT,Perm,24
3.1.2,CM,CMDOSRGM,Perm,25
3.1.2,CM,CMROUTE,Perm,26
3.1.2,CM,CMSTDTC,Perm,27
3.1.2,CM,CMENDTC,Perm,28
3.1.2,CM,CMSTDY,Perm,29
3.1.2,CM,CMENDY,Perm,30
3.1.2,CM,CMDUR,Perm,31
3.1.2,CM,CMSTRF,Perm,32
3.1.2,CM,CMENRF,Perm,33
3.1.2,CM,CMSTRTPT,Perm,34
3.1.2,CM,CMSTTPT,Perm,35
3.1.2,CM,CMENRTPT,Perm,36
3.1.2,CM,CMENTPT,Perm,37
3.1.2,EX,STUDYID,Req,1
3.1.2,EX,DOMAIN,Req,2
3.1.2,EX,USUBJID,Req,3
3.1.2,EX,EXSEQ,Req,4
3.1.2,EX,EXGRPID,Perm,5
3.1.2,EX,EXSPID,Perm,6
3.1.2,EX,EXTRT,Req,7
3.1.2,EX,EXCAT,Perm,8
3.1.2,EX,EXSCAT,Perm,9
3.1.2,EX,EXDOSE,Exp,10
3.1.2,EX,EXDOSTXT,Perm,11
3.1.2,EX,EXDOSU,Exp,12
3.1.2,EX,EXDOSFRM,Exp,13
3.1.2,EX,EXDOSFRQ,Perm,14
3.1.2,EX,EXDOSTOT,Perm,15
3.1.2,EX,EXDOSRGM,Perm,16
3.1.2,EX,EXROUTE,Perm,17
3.1.2,EX,EXLOT,Perm,18
3.1.2,EX,EXLOC,Perm,19
3.1.2,EX,EXTRTV,Perm,20
3.1.2,EX,EXVAMT,Perm,21
3.1.2,EX,EXVAMTU,Perm,22
3.1.2,EX,EXADJ,Perm,23
3.1.2,EX,TAETORD,Perm,24
3.1.2,EX,EPOCH,Perm,25
3.1.2,EX,EXSTDTC,Exp,26
3.1.2,EX,EXENDTC,Perm,27
3.1.2,EX,EXSTDY,Perm,28
3.1.2,EX,EXENDY,Perm,29
3.1.2,EX,EXDUR,Perm,30
3.1.2,EX,EXTPT,Perm,31
3.1.2,EX,EXTPTNUM,Perm,32
3.1.2,EX,EXELTM,Perm,33
3.1.2,EX,EXTPTREF,Perm,34
3.1.2,SU,STUDYID,Req,1
3.1.2,SU,DOMAIN,Req,2
3.1.2,SU,USUBJID,Req,3
3.1.2,SU,SUSEQ,Req,4
3.1.2,SU,SUGRPID,Perm,5
3.1.2,SU,SUSPID,Perm,6
3.1.2,SU,SUTRT,Req,7
