key,entity
ACTIVITY,ScheduledActivityInstance
DECISION,ScheduledDecisionInstance
ELIGIBILITY_CRITERIA,EligibilityCriteria
ENDPOINT,Endpoint
GEOGRAPHIC_SCOPE,GeographicScope
NoneType,null
OBJECTIVE,Objective
SUBJECT_ENROLLMENT,SubjectEnrollment
`this`,Wrapper
activities,Activity
activityIds,Activity
amendments,StudyAmendment
analysisPopulation,AnalysisPopulation
armId,StudyArm
arms,StudyArm
bcSurrogateIds,BiomedicalConceptSurrogate
bcSurrogates,BiomedicalConceptSurrogate
biomedicalConceptIds,BiomedicalConcept
biomedicalConcepts,BiomedicalConcept
blindingSchema,Code
bool,boolean
businessTherapeuticAreas,Code
category,Code
codes,Code
contactModes,Code
contents,NarrativeContent
country,Code
dataOriginType,Code
dateValues,GovernanceDate
definedProcedures,Procedure
dictionaries,SyntaxTemplateDictionary
dictionaryId,SyntaxTemplateDictionary
documentVersionId,StudyProtocolDocumentVersion
documentedBy,StudyProtocolDocument
elementIds,StudyElement
elements,StudyElement
encounterContactModes,Code
encounterEnvironmentalSetting,Code
encounterId,Encounter
encounters,Encounter
endpointLevel,Code
environmentalSetting,Code
epochId,StudyEpoch
epochs,StudyEpoch
exits,ScheduleTimelineExit
indications,Indication
int,number
intercurrentEvents,IntercurrentEvent
interventionModel,Code
legalAddress,Address
level,Code
nextActivityId,Activity
nextEncounterId,Encounter
nextStudyEpochId,StudyEpoch
objectiveEndpoints,Endpoint
objectiveLevel,Code
organizationLegalAddress,Address
parameterMap,Map
plannedCompletionNumber,Range
plannedEnrollmentNumber,Range
plannedSexOfParticipants,Code
population,StudyDesignPopulation
populations,StudyDesignPopulation
previousActivityId,Activity
previousEncounterId,Encounter
previousStudyEpochId,StudyEpoch
primaryReason,StudyAmendmentReason
properties,BiomedicalConceptProperty
protocolStatus,Code
relativeToFrom,Code
responseCodes,ResponseCode
scheduleTimelineExits,ScheduleTimelineExit
scheduleTimelines,ScheduleTimeline
scheduledActivityInstanceEncounterId,Encounter
scheduledAtId,Timing
secondaryReasons,StudyAmendmentReason
standardCode,Code
str,string
study,Study
studyArmId,StudyArm
studyArms,StudyArm
studyCells,StudyCell
studyDesignBlindingScheme,Code
studyDesigns,StudyDesign
studyElementIds,StudyElement
studyElements,StudyElement
studyEpochId,StudyEpoch
studyEpochs,StudyEpoch
studyEstimands,Estimand
studyIdentifierScope,Organization
studyIdentifiers,StudyIdentifier
studyIndications,Indication
studyInterventions,StudyIntervention
studyObjectives,Objective
studyPhase,AliasCode
studyPopulations,PopulationDefinition
studyProtocolVersions,studyProtocolVersions
studyScheduleTimelines,ScheduleTimeline
therapeuticAreas,Code
timelineExitId,ScheduleTimelineExit
timelineId,ScheduleTimeline
timingRelativeToFrom,Code
timings,Timing
transitionEndRule,TransitionRule
transitionStartRule,TransitionRule
treatmentId,StudyIntervention
trialIntentTypes,Code
trialTypes,Code
type,Code
variableOfInterestId,Endpoint
